id,date,event,home,away,league_home,league_away,sp_home,sp_draw,sp_away,jc_handicap,asian_handicap,lambda_raw_h,lambda_raw_a,injury_home,injury_away,motivation_home,motivation_away,pressure_triggered,slack_triggered,altitude_bonus,lambda_final_h,lambda_final_a,prob_home,prob_draw,prob_away,ddi_home,ddi_draw,ddi_away,cold_treatment,direction,fit_score,s7_score,opponent_predictability,rating,h2h_confidence,xg_last3_confidence,xg_season_confidence,roster_confidence,injury_home_confidence,injury_away_confidence,injury_source_confidence,motivation_confidence,xg_home_sample,xg_away_sample,xg_last3_home_sample,xg_last3_away_sample,xg_home_source_events,xg_away_source_events,trap_analysis,key_risk,actual_score,hit,diagnosis,actual_ht
周四001,2026-06-11,世界杯,墨西哥,南非,世界杯,世界杯,1.3,4.15,8.4,-1,-1,2.5439,0.3,0,0,0,0,0,0,0,2.5439,0.3,0.778,0.171,0.051,0.0968,-0.0424,-0.0544,True,胜,4.84,3.0,0.9,C,,,,,,,,,,,,,,,无明显诱盘特征，盘口与实力匹配,贴合度低，熔断警告,,,,
周四002,2026-06-11,世界杯,韩国,捷克,世界杯,世界杯,2.43,2.84,2.74,-1,-1,1.1651,1.5349,0,0,0,0,0,0,0,1.1651,1.5349,0.2964,0.2388,0.4648,-0.0682,-0.0732,0.1414,True,让负,4.01,2.0,0.9,C,,,,,,,,,,,,,,,盘口看好主队，但系统预测客队方向，存在分歧,市场与模型方向分歧，谨慎参考 贴合度低，熔断警告,,,,
周五003,2026-06-12,世界杯,加拿大,波黑,世界杯,世界杯,1.59,3.38,4.9,-1,-1,1.5309,1.1691,0,0,0,0,0,0,0,1.5309,1.1691,0.431,0.2465,0.3225,-0.1261,-0.0156,0.1417,True,让负,5.140000000000001,3.0,0.9,C,,,,,,,,,,,,,,,盘口看好主队，但系统预测客队方向，存在分歧,市场与模型方向分歧，谨慎参考 贴合度低，熔断警告,,,,
周五004,2026-06-12,世界杯,美国,巴拉圭,世界杯,世界杯,1.83,3.05,3.92,-1,-1,1.5796,1.1204,0,0,0,0,0,0,0,1.5796,1.1204,0.4624,0.2316,0.306,-0.0214,-0.0587,0.0801,True,让负,5.21,3.0,0.9,C,,,,,,,,,,,,,,,盘口看好主队，但系统预测客队方向，存在分歧,市场与模型方向分歧，谨慎参考 贴合度低，熔断警告,,,,
周六005,2026-06-13,世界杯,卡塔尔,瑞士,世界杯,世界杯,,,,2,2,0.4158,2.2842,0,0,0,0,0,0,0,0.4158,2.2842,0.0605,0.2095,0.73,0,0,0,False,让胜,3.9800000000000004,1.0,0.9,B,,,,,,,,,,,,,,,无明显诱盘特征，盘口与实力匹配,暂无明显风险点,,,,
周六006,2026-06-13,世界杯,巴西,摩洛哥,世界杯,世界杯,1.53,3.5,5.25,-1,-1,1.9748,0.7252,0,0,0,0,0,0,0,1.9748,0.7252,0.595,0.2205,0.1845,0.0165,-0.0324,0.0159,True,胜,5.1000000000000005,3.0,0.9,C,,,,,,,,,,,,,,,无明显诱盘特征，盘口与实力匹配,贴合度低，熔断警告,,,,
周六007,2026-06-13,世界杯,海地,苏格兰,世界杯,世界杯,7.65,4.25,1.31,1,1,0.3,2.5135,0,0,0,0,0,0,0,0.3,2.5135,0.042,0.168,0.79,-0.0737,-0.0403,0.1141,True,负,5.21,2.0,0.9,B,,,,,,,,,,,,,,,无明显诱盘特征，盘口与实力匹配,暂无明显风险点,,,,
周六008,2026-06-13,世界杯,澳大利亚,土耳其,世界杯,世界杯,5.15,3.45,1.55,1,1,1.0325,1.6675,0,0,0,0,0,0,0,1.0325,1.6675,0.2415,0.2525,0.506,0.0695,-0.0042,-0.0653,True,负,5.21,2.0,0.9,B,,,,,,,,,,,,,,,无明显诱盘特征，盘口与实力匹配,暂无明显风险点,,,,
周日009,2026-06-14,世界杯,德国,库拉索,世界杯,世界杯,,,,-3,-3,2.662,0.3,0,0,0,0,0,0,0,2.662,0.3,0.787,0.1585,0.0545,0,0,0,False,让负,5.5600000000000005,1.0,0.95,B,,,,,,,,,,,,,,,无明显诱盘特征，盘口与实力匹配,暂无明显风险点,,,,
周日010,2026-06-14,世界杯,荷兰,日本,世界杯,世界杯,1.75,3.3,3.92,-1,-1,1.8823,0.8177,0,0,0,0,0,0,0,1.8823,0.8177,0.5683,0.233,0.1987,0.0923,-0.0305,-0.0617,True,胜,6.430000000000001,3.0,0.95,B,,,,,,,,,,,,,,,无明显诱盘特征，盘口与实力匹配,暂无明显风险点,,,,
